progeny	sire	dam	progeny_fam_ID	sire_fam_ID	dam_fam_ID
2552	550	745	2216	2225	1322
2553	583	573	996	1374	1292
2554	394	2328	494	NA	1313
2555	341	17	987	NA	NA
2556	499	580	964	662	2260
2557	2443	2438	959	1327	1315
2558	2045	2289	469	1053	1420
2559	2124	2119	1164	1306	978
2560	1847	888	1595	688	575
2561	339	2159	796	NA	1310
2562	394	2328	482	NA	1313
2563	810	800	730	1345	617
2564	0	2424	703	NA	1338
2565	509	2418	1005	2468	1003
2566	1819	1733	768	2000	1355
2567	131	582	973	NA	2249
2568	2404	801	1154	2302	1364
2569	2145	871	1711	2168	2270
2570	509	2418	847	2468	1003
2571	1819	1733	1521	2000	1355
2572	907	790	2227	1652	2288
2573	393	688	760	NA	1434
2574	381	697	673	NA	1350
2575	1819	1733	960	2000	1355
2576	547	2538	1865	2193	813
2577	506	591	2453	1466	967
2578	506	591	1529	1466	967
2579	0	1841	1793	NA	995
2580	563	717	1838	759	1426
2581	1558	694	1769	843	853
2582	563	717	2449	759	1426
2583	560	1841	1797	691	995
2584	384	800	2325	NA	617
2585	912	2507	2320	1353	1004
2586	2395	567	783	1348	2201
2587	2395	567	1814	1348	2201
2588	715	811	1808	2471	961
2589	470	1980	1767	NA	2156
2590	1776	608	1707	1309	1620
2591	2371	1635	1783	1682	2309
2592	564	2490	1828	639	NA
2593	2465	557	2329	1045	1029
2594	384	800	2322	NA	617
2595	2421	724	1742	969	1693
2596	712	545	1850	2448	832
2597	2497	2510	1467	818	1714
2598	2414	2425	1498	1971	2481
2599	892	2519	1835	785	1218
2600	1932	648	1760	989	784
2601	564	2490	765	639	NA
2602	644	641	802	2262	722
2603	909	648	2316	NA	784
2604	832	695	2333	1465	1395
2605	832	695	1515	1465	1395
2606	2502	2485	862	1008	1986
2607	1994	2001	1792	983	1952
2608	1623	2347	1736	1660	NA
2609	644	641	799	2262	722
2610	0	544	1817	NA	809
2611	506	591	1774	1466	967
2612	2460	2197	2394	2294	1668
2613	614	713	1842	1567	777
2614	2488	2255	1464	NA	993
2615	106	722	2452	NA	854
2616	896	1676	1799	2147	2434
2617	2534	566	1809	2246	727
2618	2488	2255	1772	NA	993
2619	1623	2347	1480	1660	NA
2620	896	1676	695	2147	2434
2621	1960	2537	1446	1031	1026
2622	2486	913	1470	NA	1011
2623	1623	2347	1491	1660	NA
2624	2272	543	1459	NA	797
2625	799	486	1997	2496	998
2626	551	2265	2130	2446	1951
2627	2014	615	1994	1213	1342
2628	2488	2255	1590	NA	993
2629	1994	2001	1763	983	1952
2630	2400	2035	1475	1535	1080
2631	2477	2509	778	NA	831
